-x:-25.00,y:76.40,z:0.40,t:97327
x:-45.00,y:10.40,z:-68.20,t:97331
x:7.80,y:-57.60,z:-46.60,t:97335
x:18.20,y:-81.40,z:4.80,t:97338
x:59.00,y:7.20,z:87.00,t:97342
x:-6.00,y:65.80,z:73.40,t:97346
x:-75.80,y:28.00,z:-51.00,t:97349
x:-41.80,y:-106.00,z:-47.80,t:97353
x:5.60,y:-72.40,z:-42.60,t:97357
x:72.20,y:35.20,z:45.60,t:97360
x:25.40,y:155.80,z:61.60,t:97364
x:-57.40,y:52.80,z:-12.00,t:97369
x:-84.40,y:-49.40,z:-47.40,t:97373
x:-15.40,y:-103.40,z:-46.20,t:97376
x:28.80,y:0.60,z:-11.40,t:97380
x:68.40,y:138.40,z:82.40,t:97384
x:-5.00,y:47.60,z:26.40,t:97387
x:-85.00,y:-4.80,z:-42.80,t:97391
x:-45.80,y:-171.40,z:-28.00,t:97395
x:-5.40,y:-84.20,z:-27.60,t:97399
x:89.00,y:80.40,z:59.40,t:97402
x:32.80,y:85.80,z:63.00,t:97406
x:-46.60,y:4.20,z:-30.80,t:97411
x:-83.00,y:-151.00,z:-35.20,t:97414
x:-26.60,y:-89.40,z:-34.80,t:97418
x:68.80,y:100.60,z:63.60,t:97422
x:60.60,y:123.40,z:40.00,t:97426
x:-22.80,y:17.20,z:-26.60,t:97429
x:-84.80,y:-112.60,z:-43.00,t:97433
x:-75.20,y:-91.60,z:-8.60,t:97437
x:29.40,y:42.00,z:23.60,t:97440
x:77.00,y:143.00,z:2.00,t:97444
x:24.40,y:69.40,z:-7.40,t:97448
x:-49.40,y:-52.80,z:-20.60,t:97452
x:-79.00,y:-137.00,z:-14.00,t:97456
x:7.60,y:-40.20,z:27.40,t:97460
x:56.40,y:149.80,z:8.80,t:97464
x:54.40,y:82.00,z:32.40,t:97467
x:-29.20,y:5.80,z:-59.80,t:97471
x:-41.80,y:-144.00,z:20.20,t:97475
x:-41.40,y:-54.20,z:4.00,t:97478
x:29.40,y:87.80,z:30.80,t:97482
x:40.00,y:79.40,z:31.00,t:97486
x:-22.20,y:8.40,z:-44.60,t:97489
x:-15.20,y:-74.80,z:-32.20,t:97494
x:-19.20,y:-73.20,z:-16.20,t:97498
x:15.80,y:52.80,z:69.40,t:97502
x:0.20,y:102.00,z:11.80,t:97505
x:-32.20,y:11.60,z:-35.60,t:97509
x:-1.80,y:-48.80,z:-44.40,t:97513
x:21.40,y:-75.20,z:-12.00,t:97516
x:41.60,y:29.20,z:82.00,t:97520
x:-23.20,y:41.60,z:51.80,t:97524
x:-51.00,y:21.40,z:-39.80,t:97527
x:-32.40,y:-99.80,z:-47.20,t:97531
x:13.00,y:-82.60,z:-20.00,t:97536
x:45.80,y:1.80,z:76.00,t:97539
x:16.00,y:117.60,z:72.40,t:97543
x:-71.20,y:45.80,z:-28.60,t:97547
x:-44.00,y:-67.00,z:-48.80,t:97551
x:8.40,y:-75.80,z:-36.00,t:97554
x:48.40,y:-37.60,z:3.00,t:97558
x:60.00,y:123.20,z:76.60,t:97562
x:-20.40,y:60.80,z:39.80,t:97565
x:-71.20,y:-10.00,z:-52.40,t:97569
x:-28.20,y:-143.00,z:-47.00,t:97573
x:14.00,y:-63.60,z:-29.80,t:97577
x:72.00,y:72.80,z:51.60,t:97581
x:26.60,y:83.80,z:74.60,t:97585
x:-83.80,y:9.20,z:-24.80,t:97589
x:-52.20,y:-161.40,z:-43.20,t:97592
x:-12.20,y:-61.00,z:-45.80,t:97596
x:53.80,y:55.60,z:36.40,t:97600
x:70.20,y:160.20,z:28.40,t:97603
x:-19.20,y:29.80,z:-1.00,t:97607
x:-82.40,y:-125.60,z:-35.20,t:97611
x:-27.00,y:-95.80,z:-16.60,t:97615
x:14.40,y:17.20,z:-2.60,t:97618
x:80.80,y:155.80,z:39.20,t:97623
x:31.20,y:68.00,z:30.40,t:97627
x:-71.20,y:-66.80,z:-37.20,t:97630
x:-63.20,y:-109.00,z:-17.40,t:97634
x:-26.00,y:-59.00,z:-27.40,t:97638
x:75.00,y:146.00,z:51.40,t:97642
x:55.40,y:85.60,z:35.20,t:97645
x:-43.00,y:-16.60,z:-41.40,t:97649
x:-47.60,y:-139.00,z:-11.20,t:97653
x:-32.20,y:-58.00,z:-9.60,t:97657
x:49.00,y:67.40,z:71.80,t:97660
x:62.40,y:73.40,z:43.20,t:97665
x:-21.40,y:47.60,z:-38.80,t:97669
x:-38.40,y:-140.20,z:-14.60,t:97672
x:-59.20,y:-89.40,z:-13.20,t:97676
x:-11.00,y:20.80,z:63.40,t:97680
x:46.60,y:124.00,z:28.20,t:97684
x:-3.00,y:25.00,z:-51.00,t:97687
x:-12.60,y:-68.00,z:-39.20,t:97691
x:-49.60,y:-82.00,z:-7.80,t:97695
