-x:-43.20,y:-46.20,z:-14.80,t:19013

x:40.40,y:-14.20,z:47.80,t:19017

x:24.60,y:-12.00,z:-31.80,t:19021

x:-43.00,y:32.80,z:-20.60,t:19025

x:40.80,y:9.60,z:-33.60,t:19028

x:5.60,y:-25.60,z:-41.00,t:19033

x:-56.40,y:90.80,z:-21.20,t:19037

x:75.40,y:49.80,z:-56.80,t:19040

x:-33.80,y:-167.80,z:40.00,t:19044

x:-29.40,y:126.40,z:6.40,t:19048

x:72.20,y:25.60,z:-20.00,t:19051

x:-51.20,y:-255.00,z:50.60,t:19055

x:0.80,y:121.20,z:42.80,t:19059

x:57.60,y:12.00,z:-44.20,t:19063

x:-67.80,y:-127.00,z:40.40,t:19066

x:39.80,y:86.40,z:-1.80,t:19070

x:64.80,y:-11.00,z:-52.80,t:19075

x:-57.40,y:-66.40,z:14.60,t:19078

x:58.20,y:119.60,z:-4.20,t:19082

x:-22.00,y:-92.00,z:-65.40,t:19086

x:-15.20,y:168.00,z:58.80,t:19090

x:80.80,y:63.40,z:14.00,t:19093

x:-33.60,y:-108.80,z:-68.80,t:19097

x:-18.60,y:171.80,z:51.80,t:19101

x:170.40,y:98.20,z:-30.20,t:19105

x:-122.60,y:-64.60,z:-10.80,t:19108

x:-60.00,y:241.60,z:13.80,t:19112

x:131.00,y:-72.00,z:-8.20,t:19117

x:-100.40,y:-109.20,z:-8.80,t:19121

x:-23.00,y:239.40,z:15.60,t:19124

x:117.80,y:-13.60,z:-18.20,t:19128

x:-120.40,y:-78.20,z:-26.40,t:19132

x:-0.40,y:111.20,z:18.60,t:19136

x:103.40,y:-225.40,z:71.20,t:19139

x:-115.20,y:29.00,z:11.80,t:19143

x:4.60,y:173.40,z:-15.00,t:19147

x:89.00,y:-232.00,z:83.20,t:19151

x:-116.20,y:69.80,z:-6.20,t:19154

x:20.20,y:110.60,z:-13.40,t:19159

x:-12.00,y:-339.20,z:35.80,t:19163

x:-159.40,y:96.00,z:-49.40,t:19167

x:6.60,y:146.40,z:-25.20,t:19170

x:-15.00,y:-284.40,z:22.40,t:19174

x:-146.60,y:86.40,z:-25.60,t:19178

x:34.20,y:14.40,z:0.80,t:19182

x:40.80,y:-91.00,z:19.60,t:19185

x:-37.80,y:116.40,z:-84.20,t:19189

x:20.60,y:-13.00,z:-25.60,t:19193

x:31.00,y:-89.00,z:42.00,t:19196

x:-15.40,y:85.80,z:-74.60,t:19201

x:61.40,y:-195.60,z:104.00,t:19205

x:25.60,y:20.80,z:0.00,t:19209

x:22.40,y:164.20,z:-91.60,t:19212

x:49.40,y:-167.00,z:86.40,t:19216

x:35.20,y:51.60,z:25.60,t:19220

x:2.80,y:130.80,z:-20.80,t:19223

x:-0.40,y:-143.00,z:47.40,t:19227

x:39.60,y:23.40,z:21.40,t:19231

x:23.20,y:183.60,z:-68.80,t:19235

x:-13.20,y:-105.20,z:27.80,t:19238

x:-36.60,y:117.80,z:-75.40,t:19243

x:-39.00,y:-9.00,z:-25.40,t:19247

x:-24.00,y:-36.60,z:45.60,t:19250

x:2.00,y:54.20,z:-32.40,t:19254

x:-52.00,y:-3.00,z:3.00,t:19258

x:-29.60,y:57.00,z:54.20,t:19261

x:42.00,y:-98.40,z:-8.80,t:19265

x:-25.80,y:32.60,z:-14.40,t:19269

x:-48.00,y:132.60,z:-20.20,t:19272

x:61.80,y:-41.20,z:-19.80,t:19276

x:-67.60,y:-68.80,z:23.00,t:19280

x:18.00,y:67.00,z:59.00,t:19284

x:72.60,y:22.20,z:-47.20,t:19288

x:-42.40,y:-52.20,z:14.80,t:19292

x:15.20,y:113.20,z:34.80,t:19296

x:6.60,y:-58.00,z:-33.80,t:19299

x:-76.00,y:109.60,z:10.40,t:19303

x:49.60,y:88.80,z:31.60,t:19307

x:-12.40,y:-117.80,z:-53.20,t:19311

x:-64.40,y:108.60,z:32.40,t:19314

x:81.80,y:65.20,z:-15.40,t:19318

x:-78.80,y:-243.80,z:1.40,t:19322

x:-26.00,y:174.20,z:49.60,t:19326

x:118.40,y:109.60,z:-21.80,t:19330

x:-125.80,y:-144.00,z:-19.20,t:19334

x:-8.60,y:210.80,z:9.80,t:19338

x:67.80,y:-32.60,z:-35.80,t:19342

x:-163.40,y:-139.60,z:-4.00,t:19345

x:-4.60,y:89.20,z:62.60,t:19349

x:92.40,y:-80.40,z:-19.60,t:19353

x:-176.20,y:-102.60,z:-30.20,t:19357

x:-0.60,y:59.20,z:52.40,t:19360

x:61.80,y:-206.20,z:-18.20,t:19364

x:-118.80,y:61.60,z:-18.60,t:19368

x:79.60,y:39.80,z:15.20,t:19372

x:67.80,y:-207.80,z:20.40,t:19376

x:-126.00,y:61.20,z:-8.60,t:19380

x:50.00,y:44.00,z:-3.60,t:19384

x:-21.80,y:-322.80,z:62.20,t:19387

x:-117.00,y:155.20,z:-33.80,t:19391

x:104.20,y:74.80,z:-38.00,t:19395

x:-1.40,y:-387.00,z:53.60,t:19399

x:-137.80,y:131.00,z:-48.40,t:19402

x:105.00,y:123.20,z:-35.40,t:19406

x:-2.40,y:-104.40,z:17.80,t:19410

x:-29.40,y:231.60,z:-83.40,t:19415

x:127.80,y:-100.80,z:74.80,t:19419

x:-6.60,y:5.40,z:19.20,t:19422

x:-37.80,y:182.40,z:-96.80,t:19426

x:100.00,y:-147.40,z:113.80,t:19430

x:-12.60,y:-19.60,z:42.00,t:19434

x:-1.40,y:106.20,z:-45.80,t:19437

x:33.40,y:-264.20,z:74.00,t:19441

x:-102.00,y:51.40,z:-6.40,t:19445

x:-12.40,y:49.20,z:-36.00,t:19448

x:27.60,y:-191.40,z:61.60,t:19452

x:-76.80,y:66.40,z:-22.00,t:19457

x:-38.80,y:83.40,z:-72.60,t:19461

x:-9.20,y:-151.80,z:20.60,t:19464

x:-54.60,y:81.40,z:-62.20,t:19468

x:-43.80,y:111.80,z:-72.60,t:19472

x:-16.40,y:-105.40,z:44.00,t:19476

x:-52.00,y:90.20,z:-95.60,t:19479

x:-22.00,y:-62.00,z:48.60,t:19483

x:6.80,y:-4.80,z:18.20,t:19487

x:-4.00,y:72.00,z:-83.20,t:19490

x:-28.00,y:-134.20,z:59.20,t:19494

x:14.60,y:-29.00,z:45.40,t:19499

x:49.60,y:52.00,z:-23.20,t:19502

x:-26.80,y:-123.60,z:25.40,t:19506

x:11.20,y:-12.40,z:39.60,t:19510

x:45.00,y:-8.20,z:-13.20,t:19513

x:-60.80,y:-73.40,z:4.40,t:19517

x:25.20,y:-3.00,z:13.60,t:19521

x:13.20,y:-34.60,z:-2.80,t:19524

x:-71.80,y:78.20,z:-34.20,t:19528

x:58.40,y:34.40,z:12.80,t:19532

x:7.80,y:-93.00,z:-8.40,t:19535

x:-68.20,y:101.80,z:-49.20,t:19539

x:42.80,y:49.80,z:26.20,t:19544

x:-41.60,y:-164.20,z:-39.00,t:19548

x:-61.20,y:115.80,z:-15.00,t:19551

x:77.60,y:-53.40,z:29.20,t:19555

x:-72.60,y:-111.60,z:35.00,t:19559

x:2.00,y:77.80,z:25.00,t:19563

x:83.40,y:-22.60,z:-32.00,t:19566

x:-96.00,y:-222.60,z:-1.20,t:19570

x:45.00,y:121.60,z:26.60,t:19574

x:48.60,y:-80.40,z:-52.00,t:19577

x:-27.60,y:-32.60,z:86.60,t:19581

x:6.80,y:169.00,z:-4.20,t:19586

x:30.60,y:-123.80,z:-28.00,t:19590

x:-42.20,y:14.20,z:44.20,t:19593

x:107.60,y:104.80,z:-40.80,t:19597

x:-51.80,y:-278.40,z:46.40,t:19601

x:-52.60,y:187.20,z:-1.20,t:19605

x:119.20,y:94.00,z:-15.60,t:19608

x:-31.60,y:-234.60,z:17.20,t:19612

x:-100.60,y:192.60,z:-43.80,t:19616

x:149.80,y:-7.40,z:-21.40,t:19620

x:-60.60,y:-30.60,z:-23.20,t:19623

x:3.20,y:186.60,z:9.60,t:19628

x:91.00,y:-31.20,z:-4.20,t:19632

x:-57.00,y:-79.00,z:12.00,t:19635

x:8.00,y:118.00,z:-9.80,t:19639

x:144.60,y:-122.80,z:79.60,t:19643

x:-30.60,y:90.20,z:-36.40,t:19647

x:3.60,y:201.60,z:-76.00,t:19650

x:125.60,y:-130.60,z:130.20,t:19654

x:-25.00,y:122.40,z:-56.40,t:19658

x:14.20,y:198.40,z:-62.00,t:19662

x:10.40,y:-270.80,z:61.00,t:19665

x:-122.20,y:104.00,z:-30.20,t:19670

x:-23.60,y:105.60,z:-50.20,t:19674

x:-12.40,y:-85.20,z:33.40,t:19678

x:-100.00,y:111.80,z:-44.80,t:19682

x:-31.20,y:74.20,z:-32.40,t:19685

x:4.20,y:-60.80,z:33.60,t:19689

x:-12.20,y:128.80,z:-92.40,t:19693

x:-20.20,y:-145.80,z:51.00,t:19696

x:28.40,y:-2.80,z:18.20,t:19700

x:38.20,y:45.80,z:-35.80,t:19704

x:-48.40,y:-146.00,z:63.60,t:19708

x:22.80,y:-41.40,z:58.20,t:19712

x:43.60,y:7.60,z:-9.00,t:19716

x:-63.40,y:-50.40,z:4.60,t:19720

x:27.60,y:-7.60,z:49.00,t:19723

x:45.20,y:-16.40,z:-55.40,t:19727

x:-74.80,y:93.00,z:-34.00,t:19731

x:65.00,y:46.00,z:-24.60,t:19734

x:17.60,y:-29.60,z:-32.00,t:19738

x:-79.00,y:124.00,z:-22.00,t:19742

x:65.60,y:31.20,z:-19.20,t:19745

x:-51.00,y:-149.20,z:1.00,t:19749

x:-45.80,y:182.40,z:-1.80,t:19753

x:86.60,y:-57.20,z:-1.80,t:19758

x:-91.60,y:-179.20,z:23.00,t:19761

x:-15.40,y:174.40,z:-9.40,t:19765

x:103.80,y:-46.80,z:-6.40,t:19769

x:-113.80,y:-151.00,z:-15.80,t:19773

x:41.20,y:60.00,z:35.20,t:19776

x:68.60,y:-41.80,z:-33.60,t:19780

x:-127.60,y:-161.00,z:10.40,t:19784

x:30.20,y:39.00,z:30.20,t:19788

x:55.00,y:-194.40,z:2.00,t:19791

x:-50.80,y:74.20,z:23.80,t:19795

x:123.20,y:31.20,z:-21.60,t:19800

x:66.40,y:-222.40,z:11.20,t:19803

x:-87.80,y:146.20,z:-7.60,t:19807

x:117.60,y:99.40,z:-27.60,t:19811

x:-25.60,y:-270.40,z:29.20,t:19815

x:-90.60,y:200.80,z:-53.60,t:19818

x:113.60,y:96.00,z:-49.20,t:19822

x:-26.20,y:0.20,z:-27.00,t:19826

x:-110.00,y:116.00,z:-46.40,t:19830

x:101.40,y:12.20,z:3.80,t:19833

x:-4.80,y:-29.60,z:16.00,t:19837

x:-0.60,y:180.00,z:-55.40,t:19842

x:100.60,y:-139.20,z:104.60,t:19846

x:-45.00,y:87.60,z:-40.20,t:19849

x:11.00,y:170.80,z:-79.40,t:19853

x:76.20,y:-207.20,z:111.00,t:19857

x:-28.00,y:60.80,z:-13.20,t:19861

x:-14.80,y:194.80,z:-47.60,t:19864

x:3.80,y:-236.00,z:73.40,t:19868

x:-107.40,y:75.40,z:-45.60,t:19872

x:-5.00,y:160.00,z:-59.00,t:19876

x:5.40,y:-160.20,z:54.00,t:19879

x:-67.80,y:115.80,z:-72.00,t:19884

x:-32.60,y:64.00,z:-40.20,t:19888

x:8.60,y:-18.60,z:21.60,t:19891

x:36.20,y:70.40,z:-61.60,t:19895

x:-67.20,y:43.00,z:-4.40,t:19899

x:-17.80,y:14.20,z:11.60,t:19902

x:63.00,y:18.80,z:-18.40,t:19906

x:-60.80,y:-70.60,z:29.60,t:19910

x:-46.40,y:-5.40,z:52.40,t:19914

x:64.40,y:-67.40,z:2.80,t:19917

x:-63.20,y:-79.40,z:-7.80,t:19921

x:28.40,y:4.80,z:56.20,t:19924

x:76.80,y:-54.40,z:-0.20,t:19929

x:-80.00,y:-51.80,z:12.00,t:19933

x:7.20,y:20.60,z:59.60,t:19936

x:12.80,y:-88.20,z:-27.60,t:19940

x:-81.80,y:-43.60,z:-2.20,t:19944

x:37.20,y:85.60,z:32.00,t:19947

x:-24.20,y:-102.60,z:-50.80,t:19951

x:-76.40,y:169.20,z:-10.00,t:19955

x:113.00,y:73.60,z:-16.40,t:19959

x:-86.20,y:-200.20,z:-21.20,t:19963

x:-7.80,y:216.20,z:3.20,t:19966

x:88.80,y:62.60,z:11.00,t:19971

