-x:201.00,y:143.80,z:330.80,t:72239
x:-578.40,y:43.20,z:-461.40,t:72243
x:285.80,y:22.80,z:411.00,t:72247
x:-547.60,y:136.60,z:-199.20,t:72251
x:378.40,y:-461.20,z:109.00,t:72255
x:-213.00,y:-11.80,z:170.80,t:72259
x:-237.40,y:-327.20,z:-284.40,t:72263
x:135.80,y:108.80,z:150.60,t:72267
x:-455.80,y:-130.20,z:-314.60,t:72270
x:434.60,y:304.60,z:131.20,t:72274
x:-239.80,y:-108.40,z:-197.60,t:72279
x:510.80,y:295.00,z:131.80,t:72283
x:75.00,y:-239.00,z:100.20,t:72287
x:279.80,y:56.00,z:-186.00,t:72291
x:-119.00,y:-128.40,z:487.20,t:72295
x:-41.80,y:-137.60,z:-363.00,t:72299
x:-153.40,y:256.00,z:235.80,t:72302
x:-182.20,y:-12.40,z:-132.60,t:72306
x:-33.60,y:232.00,z:235.40,t:72310
x:-35.60,y:91.40,z:-244.80,t:72314
x:-218.20,y:-77.80,z:181.40,t:72318
x:-276.40,y:-37.40,z:75.00,t:72322
x:114.60,y:-98.00,z:-120.20,t:72326
x:217.40,y:-144.20,z:188.20,t:72330
x:-187.20,y:-231.40,z:-339.20,t:72334
x:371.00,y:-13.20,z:171.00,t:72338
x:-166.20,y:199.00,z:-111.80,t:72342
x:71.60,y:-21.60,z:117.20,t:72346
x:-181.20,y:297.20,z:-126.40,t:72350
x:13.20,y:-357.80,z:-2.40,t:72353
x:-117.80,y:184.20,z:18.20,t:72357
x:-139.40,y:-525.00,z:-223.60,t:72361
x:220.60,y:119.80,z:160.40,t:72366
x:-248.00,y:-248.80,z:-306.60,t:72370
x:443.00,y:344.60,z:390.00,t:72374
x:-367.60,y:-49.60,z:-191.40,t:72378
x:83.20,y:146.00,z:559.60,t:72381
x:-253.00,y:-34.80,z:-358.00,t:72385
x:458.80,y:-270.00,z:282.40,t:72389
x:-304.00,y:219.20,z:-8.80,t:72393
x:95.20,y:-610.80,z:26.00,t:72397
x:92.60,y:163.60,z:23.60,t:72400
x:-316.00,y:-342.20,z:-281.60,t:72404
x:483.40,y:77.00,z:197.20,t:72409
x:-310.00,y:-99.20,z:-262.00,t:72413
x:553.00,y:281.00,z:288.00,t:72417
x:-91.60,y:-84.00,z:-47.80,t:72421
x:380.60,y:162.80,z:33.20,t:72424
x:-109.00,y:-157.20,z:-87.60,t:72428
x:330.60,y:281.00,z:-57.40,t:72432
x:-13.40,y:-195.80,z:332.00,t:72436
x:117.40,y:29.00,z:-378.20,t:72440
x:-313.00,y:-49.20,z:390.80,t:72444
x:-154.60,y:-52.00,z:-393.20,t:72448
x:-348.60,y:292.20,z:119.60,t:72452
x:-134.20,y:-145.60,z:-49.20,t:72456
x:-79.20,y:388.20,z:-148.20,t:72460
x:-102.20,y:-245.80,z:43.60,t:72464
x:207.40,y:-98.00,z:-28.60,t:72468
x:278.60,y:61.80,z:282.00,t:72471
x:-234.80,y:-111.20,z:-210.60,t:72475
x:137.40,y:-135.20,z:224.80,t:72479
x:88.80,y:416.80,z:-272.20,t:72483
x:49.40,y:-262.80,z:243.40,t:72487
x:-133.20,y:295.20,z:-71.80,t:72492
x:181.60,y:-448.80,z:-116.20,t:72496
x:10.80,y:-34.00,z:278.60,t:72499
x:-48.40,y:-375.00,z:-102.40,t:72503
x:-90.60,y:151.00,z:63.20,t:72507
x:-127.00,y:-318.20,z:-335.60,t:72511
x:318.40,y:-35.40,z:280.80,t:72515
x:-242.20,y:-56.80,z:-302.60,t:72519
x:481.80,y:73.20,z:261.40,t:72522
x:-238.60,y:-1.80,z:67.60,t:72526
x:392.80,y:-366.80,z:-9.20,t:72530
x:341.60,y:258.40,z:168.80,t:72535
x:-153.80,y:-548.40,z:-125.20,t:72539
x:409.20,y:342.80,z:53.40,t:72543
x:-382.00,y:-59.40,z:-281.20,t:72546
x:298.00,y:324.40,z:437.40,t:72550
x:-375.60,y:1.40,z:-284.60,t:72554
x:366.20,y:341.00,z:246.20,t:72558
x:-343.20,y:-121.20,z:-274.40,t:72562
x:484.40,y:283.60,z:328.40,t:72566
x:-125.80,y:-161.80,z:33.60,t:72570
x:393.00,y:-94.40,z:80.20,t:72573
x:-298.40,y:-37.60,z:321.40,t:72578
x:-87.40,y:-143.80,z:-333.80,t:72582
x:-306.00,y:168.40,z:176.20,t:72586
x:-385.80,y:-96.40,z:-199.60,t:72590
x:-10.40,y:326.20,z:-17.60,t:72594
x:-218.60,y:-163.00,z:-46.00,t:72597
x:363.40,y:181.40,z:-79.80,t:72601
x:41.60,y:-367.40,z:148.00,t:72605
x:358.60,y:63.40,z:-160.00,t:72609
x:-26.00,y:-4.60,z:481.40,t:72613
x:11.60,y:-207.00,z:-259.60,t:72616
x:319.60,y:132.80,z:295.80,t:72621
x:-126.00,y:239.60,z:-341.20,t:72625
x:-86.60,y:-252.80,z:242.20,t:72629
x:-82.20,y:487.40,z:-92.20,t:72633
x:52.80,y:-173.60,z:53.80,t:72637
x:-222.80,y:248.20,z:36.00,t:72640
x:-19.80,y:-387.00,z:-137.20,t:72644
x:269.20,y:-4.20,z:160.80,t:72648
x:-343.40,y:-351.20,z:-92.20,t:72652
x:463.80,y:176.00,z:173.20,t:72656
x:-254.20,y:132.60,z:-25.00,t:72660
x:277.20,y:-26.40,z:127.20,t:72664
x:24.80,y:358.80,z:-5.20,t:72668
x:391.60,y:-14.60,z:212.60,t:72672
x:-229.60,y:173.20,z:190.20,t:72676
x:123.00,y:-445.60,z:-144.00,t:72680
x:283.00,y:243.40,z:102.20,t:72684
x:-369.40,y:-55.20,z:-353.40,t:72688
x:250.80,y:567.20,z:283.60,t:72691
x:-400.60,y:116.80,z:-475.80,t:72695
x:432.00,y:302.00,z:548.80,t:72699
x:-403.20,y:79.40,z:-301.40,t:72704
x:540.20,y:-9.00,z:74.00,t:72708
x:-228.40,y:45.20,z:218.60,t:72712
x:10.40,y:-319.00,z:-248.00,t:72715
x:-141.60,y:166.60,z:268.20,t:72719
x:-389.00,y:-143.40,z:-284.20,t:72723
x:283.80,y:364.60,z:33.00,t:72727
x:-197.60,y:-88.80,z:-147.20,t:72731
x:400.00,y:254.20,z:-15.00,t:72735
x:147.00,y:-271.00,z:71.00,t:72739
x:369.00,y:212.40,z:-150.00,t:72742
x:36.80,y:-273.40,z:363.00,t:72747
x:86.40,y:109.20,z:-345.00,t:72751
x:-40.40,y:-329.40,z:370.80,t:72755
x:-65.40,y:-38.20,z:-258.80,t:72759
x:209.20,y:250.60,z:218.20,t:72763
x:127.00,y:399.20,z:-315.20,t:72766
x:33.00,y:-65.40,z:241.60,t:72770
x:-375.20,y:283.40,z:10.80,t:72774
x:47.20,y:-304.20,z:-93.60,t:72778
x:197.00,y:244.60,z:24.80,t:72782
x:-478.00,y:-62.60,z:-231.60,t:72786
x:381.80,y:350.60,z:174.00,t:72790
x:-372.20,y:262.80,z:-270.20,t:72794
x:248.40,y:165.40,z:239.40,t:72798
x:-223.00,y:342.20,z:-137.20,t:72802
x:-85.20,y:-439.20,z:-66.20,t:72806
x:66.00,y:150.80,z:5.20,t:72810
x:3.20,y:-193.00,z:-124.20,t:72813
x:179.60,y:334.60,z:180.80,t:72817
x:-476.60,y:-233.20,z:-359.20,t:72821
x:256.40,y:310.20,z:306.40,t:72825
x:-514.60,y:94.20,z:-466.00,t:72829
x:298.60,y:416.00,z:402.40,t:72834
x:-341.00,y:121.40,z:-179.80,t:72838
x:495.60,y:-137.60,z:29.60,t:72841
x:-227.20,y:-126.40,z:288.40,t:72845
x:-56.80,y:-248.80,z:-256.60,t:72849
x:-189.80,y:27.00,z:266.00,t:72853
x:-337.60,y:-84.60,z:-178.40,t:72857
x:95.20,y:324.80,z:-10.60,t:72861
x:-141.60,y:-112.20,z:1.80,t:72864
x:374.60,y:224.00,z:-130.60,t:72868
x:132.80,y:-347.80,z:171.20,t:72872
x:294.00,y:86.40,z:-185.00,t:72877
x:-58.00,y:-219.60,z:435.40,t:72881
x:-111.80,y:-130.60,z:-232.00,t:72885
x:62.60,y:6.00,z:171.40,t:72889
x:-65.80,y:100.80,z:-319.20,t:72892
x:13.60,y:-268.20,z:258.20,t:72896
x:-27.20,y:615.40,z:-282.00,t:72900
x:152.80,y:-282.00,z:164.00,t:72904
x:-109.40,y:218.40,z:80.00,t:72908
x:103.20,y:-372.80,z:-155.40,t:72912
x:542.20,y:137.60,z:206.40,t:72916
x:-267.80,y:-228.00,z:-221.80,t:72920
x:540.80,y:317.00,z:228.40,t:72924
x:-387.40,y:133.20,z:-7.40,t:72928
x:270.20,y:-50.40,z:92.20,t:72932
x:-22.20,y:375.80,z:121.20,t:72936
x:-154.80,y:-363.00,z:-204.20,t:72940
x:253.20,y:253.20,z:116.00,t:72944
x:-406.60,y:24.40,z:-446.00,t:72947
x:368.40,y:418.20,z:404.20,t:72951
x:-444.40,y:101.20,z:-414.80,t:72955
x:453.60,y:252.00,z:365.20,t:72960
x:-269.60,y:22.60,z:-12.00,t:72964
x:449.00,y:-352.60,z:-50.20,t:72968
x:-189.60,y:5.20,z:-44.40,t:72971
x:345.40,y:34.60,z:-102.60,t:72975
x:-225.00,y:-88.40,z:374.80,t:72979
x:-52.80,y:-230.60,z:-305.60,t:72983
x:-327.20,y:100.40,z:188.60,t:72987
x:-292.20,y:-63.20,z:-141.80,t:72991
x:-19.40,y:310.00,z:-69.40,t:72994
x:-89.00,y:-149.60,z:12.20,t:72998
x:194.60,y:163.80,z:-145.20,t:73003
x:-159.00,y:-287.40,z:260.00,t:73007
x:-22.20,y:-214.20,z:-260.00,t:73011
x:418.20,y:-85.00,z:312.60,t:73015
x:29.40,y:371.80,z:-256.60,t:73018
x:-76.80,y:-192.00,z:234.00,t:73022
x:-69.20,y:480.20,z:-68.60,t:73026
x:0.00,y:-122.00,z:225.80,t:73030
x:-115.40,y:443.60,z:-118.60,t:73034
x:155.80,y:-428.60,z:47.60,t:73038
x:-33.00,y:107.20,z:21.60,t:73041
x:-16.80,y:-525.60,z:-204.00,t:73046
x:212.60,y:131.80,z:219.20,t:73050
x:-321.80,y:-200.00,z:-320.60,t:73054
x:407.40,y:311.40,z:405.40,t:73058
x:-273.20,y:-15.20,z:-143.80,t:73062
x:478.20,y:-240.60,z:127.20,t:73066
x:99.80,y:195.00,z:98.40,t:73069
x:-23.20,y:-557.40,z:10.60,t:73073
x:422.40,y:275.40,z:14.60,t:73077
x:-419.60,y:-53.60,z:-335.60,t:73081
x:163.40,y:112.80,z:118.40,t:73085
x:-394.60,y:-279.80,z:-307.80,t:73090
x:440.40,y:132.20,z:187.80,t:73093
x:-323.40,y:17.40,z:-322.60,t:73097
x:444.40,y:420.60,z:171.80,t:73101
x:-23.00,y:-216.00,z:43.60,t:73105
x:334.40,y:131.40,z:-145.00,t:73109
x:-107.00,y:-127.00,z:433.40,t:73113
x:-153.60,y:-34.80,z:-347.60,t:73117
x:-263.20,y:148.40,z:366.20,t:73120
x:-190.00,y:-130.40,z:-138.80,t:73124
x:-102.80,y:46.80,z:30.40,t:73128
x:-142.20,y:-28.40,z:-35.20,t:73133
x:166.00,y:-16.60,z:-127.00,t:73137
x:115.40,y:-252.20,z:474.20,t:73141
x:-294.20,y:-262.00,z:-336.60,t:73145
x:335.40,y:-150.80,z:269.20,t:73148
x:44.40,y:299.40,z:-92.60,t:73152
x:183.40,y:-277.60,z:267.40,t:73156
x:102.00,y:310.00,z:-17.80,t:73160
x:139.60,y:-443.20,z:1.00,t:73164
x:-56.80,y:123.80,z:65.00,t:73168
x:-30.60,y:-312.00,z:41.40,t:73171
x:-143.20,y:232.20,z:-89.60,t:73176
x:-163.80,y:-426.40,z:-268.80,t:73180
x:116.20,y:115.60,z:207.00,t:73184
x:-215.40,y:-217.40,z:-398.00,t:73188
x:176.60,y:155.60,z:535.00,t:73192
x:-238.20,y:93.40,z:-285.00,t:73196
x:462.60,y:-410.60,z:302.40,t:73199
x:-153.20,y:127.80,z:29.20,t:73203
x:30.80,y:-686.20,z:-22.60,t:73207
x:234.40,y:140.60,z:78.80,t:73211
x:-428.60,y:-257.20,z:-293.20,t:73216
x:426.20,y:219.80,z:181.60,t:73220
x:-355.00,y:-54.20,z:-285.60,t:73224
x:468.40,y:322.40,z:236.00,t:73227
