-x:-154.60,y:61.60,z:-627.60,t:18971
x:839.00,y:-47.00,z:477.80,t:18975
x:-527.00,y:-109.00,z:256.60,t:18979
x:-846.40,y:-259.20,z:-616.60,t:18982
x:105.80,y:-23.00,z:-415.60,t:18987
x:533.00,y:407.40,z:253.00,t:18991
x:-169.40,y:86.40,z:332.20,t:18995
x:-58.80,y:64.40,z:-239.00,t:18999
x:1152.20,y:1210.20,z:-820.60,t:19003
x:255.00,y:610.20,z:-74.00,t:19007
x:-1332.20,y:-1010.60,z:742.20,t:19011
x:-620.40,y:-1826.00,z:493.20,t:19015
x:936.00,y:617.60,z:-388.20,t:19019
x:430.20,y:1046.00,z:-382.00,t:19023
x:151.00,y:540.40,z:-94.00,t:19026
x:-239.80,y:-76.00,z:-66.20,t:19031
x:60.40,y:-514.60,z:63.80,t:19035
x:566.60,y:-658.40,z:379.20,t:19039
x:3.00,y:-142.40,z:445.20,t:19043
x:-647.00,y:-9.60,z:183.80,t:19046
x:-975.00,y:-429.20,z:-638.20,t:19050
x:487.80,y:-584.60,z:119.40,t:19054
x:1222.40,y:5.60,z:630.20,t:19058
x:82.20,y:79.80,z:579.60,t:19062
x:-876.80,y:66.80,z:-323.80,t:19066
x:-352.20,y:293.60,z:-863.80,t:19070
x:546.20,y:242.20,z:82.60,t:19074
x:175.40,y:-76.40,z:728.40,t:19078
x:-339.80,y:-1119.00,z:596.80,t:19082
x:705.60,y:467.80,z:-786.60,t:19086
x:930.40,y:1756.60,z:-1151.60,t:19090
x:-637.00,y:546.40,z:223.80,t:19094
x:-1429.80,y:-2064.60,z:1012.40,t:19098
x:430.60,y:-1670.00,z:374.00,t:19102
x:993.00,y:1233.60,z:-471.40,t:19106
x:112.00,y:1070.80,z:-370.60,t:19110
x:60.80,y:171.20,z:25.20,t:19115
x:-547.60,y:-474.40,z:310.80,t:19119
x:189.40,y:-1183.60,z:440.60,t:19123
x:246.00,y:-254.00,z:552.00,t:19127
x:-682.60,y:747.40,z:-483.80,t:19130
x:-1139.00,y:337.60,z:-765.40,t:19134
x:-127.40,y:-118.20,z:-297.20,t:19138
x:1050.80,y:-235.00,z:405.40,t:19142
x:693.20,y:146.00,z:578.80,t:19146
x:-476.40,y:-64.80,z:231.20,t:19150
x:-885.40,y:-208.40,z:-619.60,t:19154
x:99.60,y:-140.00,z:-310.60,t:19159
x:578.80,y:448.20,z:222.60,t:19163
x:-3.40,y:-10.20,z:448.00,t:19166
x:16.40,y:-172.00,z:-158.80,t:19170
x:937.20,y:1187.00,z:-909.80,t:19174
x:213.80,y:969.60,z:-288.80,t:19178
x:-1361.20,y:-468.20,z:584.40,t:19182
x:-690.20,y:-1536.60,z:563.40,t:19186
x:1006.00,y:925.40,z:-636.20,t:19190
x:485.60,y:1397.20,z:-508.60,t:19194
x:-30.80,y:304.40,z:4.20,t:19198
x:-354.80,y:-499.80,z:261.00,t:19203
x:-314.20,y:-421.40,z:5.80,t:19206
x:405.80,y:-694.80,z:689.20,t:19210
x:347.80,y:31.80,z:234.40,t:19214
x:-772.00,y:486.40,z:-372.20,t:19218
x:-1053.40,y:290.80,z:-1097.20,t:19222
x:270.60,y:-234.60,z:29.20,t:19226
x:1112.20,y:-62.80,z:606.40,t:19230
x:266.20,y:230.00,z:376.60,t:19234
x:-921.20,y:-148.60,z:-116.00,t:19238
x:-593.00,y:-82.40,z:-714.00,t:19241
x:527.20,y:-200.20,z:86.00,t:19246
x:268.20,y:277.20,z:436.20,t:19250
x:-367.80,y:-120.80,z:149.40,t:19254
x:347.20,y:796.60,z:-800.40,t:19258
x:760.00,y:1293.80,z:-679.20,t:19262
x:-578.40,y:-30.00,z:292.40,t:19266
x:-1525.20,y:-1765.60,z:692.80,t:19270
x:408.20,y:-1264.80,z:444.40,t:19274
x:1295.40,y:1973.40,z:-871.00,t:19278
x:-27.20,y:1239.80,z:-473.80,t:19282
x:-221.20,y:-178.40,z:246.40,t:19287
x:-448.20,y:-609.00,z:272.00,t:19290
x:-239.40,y:-639.40,z:368.40,t:19294
x:264.40,y:-260.80,z:446.00,t:19298
x:-728.80,y:504.80,z:58.60,t:19302
x:-904.00,y:110.60,z:-664.80,t:19306
x:64.80,y:-359.20,z:-664.20,t:19310
x:1147.80,y:-307.20,z:315.20,t:19314
x:574.00,y:393.60,z:541.00,t:19318
x:-728.60,y:80.80,z:173.80,t:19321
x:-955.20,y:-19.20,z:-931.80,t:19325
x:18.00,y:256.80,z:-364.20,t:19330
x:778.20,y:393.20,z:411.40,t:19334
x:-21.00,y:-48.00,z:459.00,t:19338
x:-327.20,y:-167.40,z:-114.80,t:19342
x:601.60,y:990.00,z:-992.00,t:19346
x:166.40,y:810.40,z:-292.20,t:19349
x:-1469.60,y:-399.40,z:783.60,t:19353
x:-870.00,y:-2308.80,z:647.80,t:19357
x:1528.60,y:540.40,z:-356.40,t:19361
x:564.40,y:1704.60,z:-603.00,t:19365
x:-312.20,y:362.20,z:7.00,t:19369
x:-323.40,y:-736.00,z:421.60,t:19374
x:-475.40,y:-1074.80,z:280.60,t:19378
x:224.20,y:-1010.80,z:464.60,t:19382
x:-416.80,y:335.20,z:217.40,t:19386
x:-854.80,y:958.60,z:-941.60,t:19390
x:-284.60,y:219.40,z:-424.40,t:19394
x:389.80,y:-384.20,z:200.80,t:19398
x:877.80,y:-196.20,z:625.20,t:19401
x:48.40,y:113.40,z:384.40,t:19405
x:-891.20,y:-196.20,z:-158.80,t:19409
x:-441.80,y:-1.80,z:-734.80,t:19414
x:604.20,y:132.00,z:-20.80,t:19418
x:599.40,y:499.00,z:462.80,t:19422
x:-121.20,y:-366.00,z:259.40,t:19426
x:369.60,y:350.80,z:-539.80,t:19430
x:411.20,y:636.00,z:-388.80,t:19433
x:-461.00,y:124.40,z:250.00,t:19437
x:-1337.80,y:-1494.80,z:486.80,t:19441
x:-25.00,y:-222.20,z:233.80,t:19445
x:1318.80,y:1931.80,z:-909.40,t:19449
x:-84.20,y:803.80,z:-106.60,t:19453
x:-432.40,y:-498.60,z:419.20,t:19458
x:-317.00,y:-860.80,z:292.60,t:19462
x:182.60,y:-325.60,z:144.60,t:19466
x:177.40,y:125.00,z:274.20,t:19470
x:-520.60,y:759.80,z:-376.40,t:19474
x:-752.80,y:645.60,z:-933.40,t:19477
x:45.20,y:15.60,z:-464.60,t:19481
x:1030.20,y:-313.80,z:347.20,t:19485
x:721.40,y:429.60,z:546.40,t:19489
x:-690.80,y:389.60,z:-65.40,t:19493
x:-1106.00,y:32.20,z:-1019.60,t:19497
x:191.20,y:-136.80,z:-54.40,t:19502
