-x:-194.40,y:-581.60,z:1035.20,t:73441
x:-205.80,y:419.40,z:15.40,t:73445
x:-192.00,y:-1872.00,z:1008.40,t:73449
x:-418.60,y:-1536.00,z:982.00,t:73453
x:-525.80,y:-2155.20,z:808.60,t:73457
x:-348.40,y:-1756.40,z:559.80,t:73461
x:-43.60,y:-571.40,z:117.00,t:73465
x:175.20,y:712.00,z:-333.80,t:73469
x:317.60,y:859.20,z:-452.80,t:73473
x:808.20,y:740.40,z:29.40,t:73477
x:696.80,y:829.60,z:76.00,t:73481
x:405.80,y:1180.00,z:-380.20,t:73485
x:-221.60,y:1110.20,z:-694.80,t:73489
x:-322.60,y:769.00,z:-789.20,t:73493
x:-304.60,y:614.40,z:-245.40,t:73497
x:-480.20,y:50.20,z:439.60,t:73501
x:-379.40,y:-951.60,z:988.20,t:73505
x:349.60,y:-1339.40,z:1007.20,t:73509
x:832.00,y:-1077.00,z:603.40,t:73513
x:570.60,y:-630.40,z:326.40,t:73517
x:306.40,y:-482.60,z:114.00,t:73521
x:91.00,y:-57.00,z:-141.80,t:73525
x:52.20,y:1338.00,z:-838.60,t:73529
x:266.60,y:2062.80,z:-1293.00,t:73533
x:86.80,y:1108.00,z:-708.60,t:73537
x:-244.40,y:236.40,z:294.40,t:73541
x:-182.00,y:-466.60,z:590.00,t:73545
x:-291.60,y:-1141.20,z:736.60,t:73549
x:-424.00,y:-1598.00,z:322.60,t:73553
x:-429.80,y:-1103.00,z:-64.00,t:73558
x:-349.20,y:-663.40,z:24.40,t:73561
x:-71.00,y:-434.40,z:175.00,t:73565
x:366.40,y:-223.20,z:251.60,t:73569
x:776.80,y:85.80,z:343.20,t:73573
x:649.40,y:524.80,z:117.00,t:73577
x:65.80,y:886.60,z:-327.80,t:73581
x:-135.00,y:1141.60,z:-856.20,t:73585
x:-239.80,y:1276.60,z:-1127.00,t:73589
x:-396.60,y:1012.40,z:-1112.20,t:73593
x:-479.40,y:275.20,z:-223.60,t:73597
x:-338.00,y:-478.20,z:877.60,t:73602
x:112.00,y:-888.40,z:1162.20,t:73606
x:400.40,y:-1298.20,z:818.00,t:73610
x:143.60,y:-1328.00,z:918.20,t:73613
x:-136.40,y:-1013.80,z:631.20,t:73617
x:-119.40,y:-416.80,z:18.40,t:73621
x:520.80,y:991.00,z:-474.00,t:73625
x:534.80,y:1613.20,z:-777.60,t:73629
x:294.40,y:1334.00,z:-506.00,t:73633
x:204.00,y:648.20,z:247.40,t:73637
x:235.40,y:65.60,z:536.40,t:73641
x:-65.80,y:-6.60,z:324.80,t:73646
x:-507.80,y:-136.60,z:-36.00,t:73649
x:-914.60,y:-412.80,z:-127.60,t:73653
x:-602.00,y:-678.60,z:79.20,t:73657
x:-324.00,y:-1092.60,z:580.40,t:73661
x:169.60,y:-1314.80,z:590.20,t:73665
