-x:255.60,y:-546.40,z:-286.60,t:23382
x:-142.20,y:-242.20,z:-254.00,t:23386
x:-596.20,y:17.80,z:45.40,t:23390
x:-645.20,y:605.60,z:-101.80,t:23394
x:-278.80,y:1039.60,z:-448.60,t:23398
x:383.00,y:645.60,z:-239.00,t:23402
x:663.60,y:-229.40,z:341.60,t:23405
x:677.20,y:-866.60,z:734.00,t:23409
x:234.00,y:-772.80,z:854.80,t:23413
x:-49.40,y:-172.20,z:450.40,t:23417
x:-382.40,y:180.40,z:-244.80,t:23421
x:-421.00,y:255.00,z:-584.00,t:23426
x:-396.40,y:74.40,z:-571.60,t:23430
x:-106.00,y:243.40,z:-522.00,t:23434
x:164.20,y:158.20,z:-326.20,t:23437
x:-27.80,y:-27.80,z:230.40,t:23441
x:-230.00,y:284.80,z:423.00,t:23445
x:-487.40,y:617.00,z:487.20,t:23449
x:-466.00,y:737.40,z:179.60,t:23453
x:-124.60,y:612.80,z:-56.80,t:23457
x:316.40,y:264.00,z:-138.40,t:23461
x:813.40,y:-344.80,z:135.80,t:23465
x:732.00,y:-855.20,z:365.80,t:23469
x:1.80,y:-864.80,z:257.20,t:23473
x:585.00,y:-883.20,z:642.20,t:23477
x:111.60,y:-792.80,z:569.60,t:23481
x:-510.40,y:-314.00,z:248.20,t:23485
x:-850.40,y:304.00,z:-218.20,t:23489
x:-356.60,y:610.80,z:-753.00,t:23493
x:-252.80,y:332.40,z:-758.00,t:23497
x:-49.60,y:179.20,z:-265.40,t:23500
x:92.40,y:444.00,z:-193.40,t:23504
x:273.60,y:280.20,z:199.80,t:23508
x:71.60,y:302.40,z:213.20,t:23513
x:-207.20,y:265.40,z:271.80,t:23517
x:-275.40,y:-13.80,z:46.20,t:23521
x:-62.20,y:-646.40,z:108.00,t:23524
x:524.60,y:-840.60,z:167.60,t:23528
x:667.80,y:-733.20,z:144.60,t:23532
x:461.20,y:-397.20,z:-151.60,t:23536
x:-7.40,y:-268.20,z:-291.40,t:23540
x:-665.00,y:14.80,z:-346.60,t:23544
x:-1002.40,y:700.80,z:-438.60,t:23548
x:-459.20,y:925.00,z:-518.60,t:23553
x:249.80,y:333.40,z:-56.60,t:23557
x:579.00,y:-533.80,z:480.40,t:23560
x:787.60,y:-836.80,z:643.20,t:23564
x:493.80,y:-730.60,z:822.40,t:23568
x:164.80,y:-211.60,z:432.40,t:23572
x:-164.60,y:42.00,z:-61.40,t:23576
x:-303.40,y:88.20,z:-399.40,t:23580
x:-427.40,y:119.80,z:-501.40,t:23584
x:-147.60,y:325.00,z:-830.60,t:23587
x:137.40,y:334.40,z:-602.20,t:23591
x:49.20,y:159.00,z:-99.80,t:23596
x:-278.60,y:293.00,z:370.40,t:23600
x:38.40,y:-293.80,z:-447.00,t:23604
x:-227.00,y:42.20,z:-266.20,t:23608
x:-648.00,y:306.00,z:158.20,t:23612
x:-566.40,y:491.80,z:311.60,t:23615
x:-421.60,y:763.40,z:253.20,t:23619
x:80.40,y:635.80,z:-5.80,t:23623
x:707.00,y:-111.20,z:251.60,t:23627
x:701.20,y:-811.80,z:612.20,t:23631
x:259.40,y:-798.00,z:644.00,t:23635
x:-171.00,y:-233.80,z:199.40,t:23640
x:-341.80,y:367.60,z:-308.00,t:23644
x:-624.40,y:729.00,z:-699.20,t:23647
x:-544.00,y:617.00,z:-726.00,t:23651
x:-170.20,y:419.00,z:-558.60,t:23655
x:346.40,y:163.40,z:-107.80,t:23659
x:407.60,y:-54.00,z:305.80,t:23663
x:101.20,y:-391.60,z:562.40,t:23667
