-x:148.20,y:-650.20,z:139.80,t:41515
x:-532.20,y:1.60,z:-298.20,t:41519
x:-840.40,y:606.00,z:-543.20,t:41523
x:-612.00,y:820.60,z:-641.00,t:41527
x:-70.20,y:695.80,z:-423.80,t:41531
x:333.60,y:-230.80,z:3.20,t:41535
x:474.40,y:-765.80,z:524.00,t:41538
x:305.40,y:-623.40,z:754.00,t:41542
x:141.80,y:-77.20,z:543.60,t:41546
x:124.40,y:-51.60,z:241.40,t:41550
x:130.00,y:-292.60,z:501.00,t:41554
x:95.40,y:-273.40,z:408.20,t:41559
x:-84.80,y:-8.00,z:461.60,t:41562
x:135.80,y:155.00,z:4.80,t:41566
x:418.00,y:-0.80,z:-120.20,t:41570
x:604.60,y:-454.80,z:-5.40,t:41574
x:523.60,y:-886.40,z:165.40,t:41578
x:196.60,y:-1013.60,z:103.80,t:41582
x:-252.20,y:-516.20,z:-119.20,t:41586
x:-714.20,y:362.20,z:-152.40,t:41590
x:-551.80,y:895.40,z:-434.00,t:41593
x:7.40,y:933.80,z:-548.00,t:41597
x:503.40,y:190.00,z:-109.60,t:41602
x:686.00,y:-551.20,z:433.60,t:41606
x:603.00,y:-833.60,z:903.80,t:41610
x:248.40,y:-480.80,z:784.00,t:41614
x:-31.40,y:17.20,z:230.40,t:41618
x:-293.60,y:49.20,z:-142.40,t:41621
x:-313.80,y:-239.20,z:-386.00,t:41625
x:-294.40,y:-394.20,z:-371.60,t:41629
x:-141.20,y:-129.60,z:-456.80,t:41633
x:127.00,y:100.00,z:-396.60,t:41637
x:-125.20,y:63.80,z:1.80,t:41641
x:411.80,y:-285.40,z:-403.00,t:41646
x:41.00,y:-85.00,z:-525.40,t:41649
x:-427.40,y:260.60,z:-401.80,t:41653
x:-638.00,y:502.80,z:-125.60,t:41657
x:-703.80,y:837.20,z:194.20,t:41661
x:-263.20,y:787.60,z:108.80,t:41665
x:426.00,y:105.40,z:154.40,t:41669
x:770.60,y:-751.40,z:555.40,t:41673
x:790.20,y:-990.40,z:676.00,t:41677
x:502.40,y:-590.80,z:650.00,t:41681
x:14.20,y:-127.00,z:242.00,t:41684
x:-238.20,y:257.60,z:-94.20,t:41689
x:-461.60,y:322.00,z:-565.20,t:41693
x:-501.60,y:216.00,z:-797.80,t:41697
x:-337.80,y:-26.20,z:-540.60,t:41701
x:-53.40,y:133.20,z:-204.20,t:41705
x:193.40,y:-6.60,z:240.20,t:41708
x:-52.20,y:-96.40,z:469.80,t:41712
x:-199.80,y:259.40,z:351.20,t:41716
x:-364.40,y:411.20,z:310.00,t:41720
x:-108.40,y:194.40,z:50.80,t:41724
x:181.20,y:-53.80,z:-105.40,t:41729
x:617.60,y:-416.80,z:-160.40,t:41733
x:686.40,y:-731.20,z:132.20,t:41736
x:306.60,y:-664.40,z:124.00,t:41740
x:-442.80,y:-232.60,z:-18.20,t:41744
x:-781.60,y:465.60,z:-425.60,t:41748
x:-834.80,y:960.20,z:-635.20,t:41752
x:-293.60,y:868.60,z:-603.40,t:41756
x:363.40,y:74.40,z:-287.40,t:41760
x:494.80,y:-637.00,z:334.20,t:41764
x:352.80,y:-647.00,z:679.20,t:41768
x:57.40,y:-216.60,z:535.20,t:41772
x:270.80,y:-89.60,z:367.20,t:41776
x:116.20,y:-77.80,z:395.80,t:41780
x:124.80,y:-140.00,z:302.80,t:41784
x:-182.00,y:-79.80,z:451.20,t:41788
x:-90.60,y:-56.00,z:29.80,t:41792
x:315.80,y:-6.80,z:-184.20,t:41795
x:456.00,y:-444.00,z:-65.60,t:41799
x:649.80,y:-668.20,z:-29.80,t:41803
x:383.40,y:-837.80,z:113.20,t:41807
x:-199.60,y:-787.20,z:7.00,t:41811
x:-528.00,y:-25.80,z:-169.80,t:41816
x:-619.00,y:718.20,z:-356.60,t:41819
x:-300.80,y:918.00,z:-740.20,t:41823
x:352.60,y:452.00,z:-499.60,t:41827
x:613.40,y:-470.60,z:188.40,t:41831
x:528.60,y:-1114.60,z:828.00,t:41835
x:298.80,y:-962.80,z:943.80,t:41839
x:49.20,y:-576.60,z:572.60,t:41843
x:-38.60,y:124.20,z:-43.60,t:41847
x:-360.80,y:187.60,z:-264.40,t:41850
x:-452.40,y:237.00,z:-528.00,t:41854
x:-138.60,y:232.20,z:-805.40,t:41859
x:154.00,y:-32.60,z:-491.20,t:41863
x:282.20,y:-269.60,z:-472.60,t:41867
x:340.00,y:-667.80,z:-312.60,t:41871
x:143.00,y:-735.20,z:-172.80,t:41875
x:-523.40,y:606.80,z:520.60,t:41879
x:-571.40,y:-18.20,z:-6.20,t:41882
x:-689.40,y:428.00,z:109.20,t:41886
x:-471.80,y:874.20,z:-67.80,t:41890
x:154.60,y:843.80,z:-233.20,t:41894
x:631.20,y:127.00,z:104.80,t:41899
x:638.40,y:-729.40,z:561.20,t:41903
x:420.80,y:-657.60,z:582.80,t:41907
x:-19.40,y:-175.20,z:428.00,t:41911
x:-501.00,y:228.60,z:-71.40,t:41914
x:-641.60,y:246.20,z:-625.80,t:41918
x:-500.80,y:-184.40,z:-599.60,t:41922
x:-374.60,y:-496.00,z:-236.60,t:41926
x:-249.00,y:-412.60,z:-57.60,t:41930
x:-1.20,y:-94.80,z:183.00,t:41934
x:-23.40,y:-187.60,z:428.60,t:41938
x:-151.40,y:50.80,z:548.80,t:41942
x:-229.00,y:489.20,z:241.60,t:41946
x:-256.80,y:359.60,z:28.00,t:41950
x:78.00,y:-14.40,z:-205.80,t:41954
x:602.40,y:-475.00,z:-41.40,t:41958
x:-107.60,y:874.20,z:-139.20,t:41962
x:509.40,y:105.40,z:-17.40,t:41965
x:824.20,y:-727.80,z:553.00,t:41969
x:439.20,y:-975.80,z:621.40,t:41973
x:-127.00,y:-349.20,z:206.20,t:41977
x:-508.40,y:443.40,z:-346.40,t:41981
x:-806.60,y:828.20,z:-555.60,t:41986
x:-418.20,y:757.00,z:-773.00,t:41990
x:-26.40,y:295.00,z:-605.20,t:41994
x:158.20,y:-94.80,z:178.00,t:41998
x:115.00,y:-138.20,z:349.20,t:42001
x:271.40,y:-122.00,z:386.40,t:42005
x:224.80,y:-185.60,z:353.80,t:42009
x:-75.80,y:-146.60,z:400.40,t:42013
x:-156.60,y:-79.00,z:317.80,t:42017
x:127.20,y:-215.40,z:34.80,t:42021
x:328.60,y:-580.00,z:49.60,t:42025
x:562.80,y:-619.60,z:-83.60,t:42029
x:551.20,y:-478.20,z:-139.00,t:42033
x:39.60,y:-534.60,z:-225.20,t:42037
x:-536.00,y:-210.40,z:-232.60,t:42041
x:-749.80,y:437.80,z:-275.80,t:42045
x:-433.20,y:1056.00,z:-532.00,t:42049
x:212.60,y:817.40,z:-309.20,t:42053
x:693.40,y:-114.60,z:72.00,t:42057
x:724.20,y:-832.40,z:555.60,t:42061
x:331.00,y:-939.40,z:898.40,t:42064
x:62.80,y:-439.40,z:578.40,t:42068
x:-248.80,y:-116.60,z:212.60,t:42073
x:-438.00,y:34.80,z:-347.80,t:42077
x:-404.80,y:-202.40,z:-420.20,t:42081
x:-364.00,y:-280.40,z:-495.80,t:42085
x:-131.80,y:141.20,z:-757.80,t:42089
x:92.60,y:188.40,z:-187.00,t:42093
x:-168.40,y:423.80,z:148.80,t:42096
x:-364.00,y:651.80,z:440.00,t:42100
x:-440.00,y:672.00,z:627.40,t:42104
x:-240.20,y:530.20,z:557.80,t:42108
x:15.20,y:413.80,z:95.60,t:42113
x:511.00,y:102.80,z:-164.80,t:42117
x:-163.20,y:785.80,z:-51.60,t:42121
x:528.80,y:220.60,z:91.40,t:42124
x:849.80,y:-737.00,z:556.20,t:42128
x:626.00,y:-716.20,z:638.00,t:42132
x:221.40,y:-265.00,z:301.40,t:42136
x:-247.00,y:251.80,z:-188.20,t:42140
x:-438.00,y:509.00,z:-578.60,t:42144
x:-447.60,y:506.40,z:-667.60,t:42148
x:-292.60,y:310.00,z:-544.60,t:42152
x:-120.00,y:19.40,z:-124.20,t:42157
x:208.00,y:8.20,z:90.00,t:42160
x:115.40,y:-244.20,z:424.80,t:42164
x:-177.60,y:-195.20,z:450.00,t:42168
x:-296.40,y:215.20,z:251.60,t:42172
x:-243.00,y:270.80,z:83.20,t:42176
x:-71.80,y:9.00,z:-115.00,t:42179
x:329.20,y:-184.20,z:-255.80,t:42183
x:723.00,y:-451.20,z:-76.20,t:42187
x:590.20,y:-803.00,z:148.80,t:42191
x:-99.60,y:-764.00,z:89.80,t:42195
x:-613.20,y:-60.20,z:-97.20,t:42200
x:-66.20,y:-717.00,z:299.40,t:42203
x:-442.40,y:-0.20,z:21.20,t:42207
x:-778.80,y:624.00,z:-389.40,t:42211
x:-506.40,y:980.80,z:-838.40,t:42215
x:85.60,y:751.20,z:-767.00,t:42219
x:201.00,y:125.40,z:-141.60,t:42223
x:3.20,y:-147.20,z:251.00,t:42226
x:299.20,y:-228.80,z:386.40,t:42230
x:160.40,y:-413.00,z:493.80,t:42234
x:-22.00,y:-287.00,z:474.40,t:42238
x:-27.00,y:154.60,z:195.80,t:42243
x:203.40,y:71.20,z:-160.60,t:42247
x:502.60,y:-255.20,z:-79.40,t:42251
x:629.20,y:-657.40,z:15.00,t:42254
x:441.40,y:-833.00,z:93.60,t:42258
x:-47.80,y:-752.40,z:-45.80,t:42262
x:692.80,y:-811.40,z:244.20,t:42266
x:-31.80,y:-850.20,z:253.40,t:42270
x:-660.40,y:-135.60,z:-82.80,t:42274
x:-739.40,y:773.20,z:-575.80,t:42278
x:-643.00,y:1086.20,z:-641.20,t:42283
x:-97.60,y:609.60,z:-678.40,t:42286
x:354.80,y:-189.00,z:-226.80,t:42290
x:373.00,y:-632.00,z:439.40,t:42294
x:208.00,y:-253.60,z:591.80,t:42298
x:282.40,y:68.00,z:498.20,t:42302
x:275.00,y:-60.00,z:388.80,t:42306
x:158.00,y:-325.20,z:244.40,t:42310
x:69.20,y:-175.40,z:-22.00,t:42313
x:294.00,y:105.00,z:-486.80,t:42317
x:514.60,y:-138.20,z:-417.40,t:42321
x:326.80,y:-54.20,z:-618.60,t:42326
x:-87.20,y:183.20,z:-606.40,t:42330
x:-482.00,y:327.60,z:-270.40,t:42334
x:-673.60,y:498.00,z:123.00,t:42338
x:-406.40,y:736.60,z:30.60,t:42341
x:178.60,y:648.80,z:-145.60,t:42345
x:668.80,y:-237.00,z:355.20,t:42349
x:831.00,y:-730.20,z:683.40,t:42353
x:648.20,y:-630.80,z:735.40,t:42357
x:220.60,y:-238.20,z:341.80,t:42361
x:-108.80,y:185.60,z:-140.60,t:42365
x:-292.60,y:290.80,z:-598.40,t:42370
x:-410.80,y:143.40,z:-617.00,t:42374
x:-324.40,y:17.40,z:-501.60,t:42377
x:31.40,y:108.60,z:-276.40,t:42381
x:184.80,y:72.80,z:-12.00,t:42385
x:-60.40,y:73.80,z:304.80,t:42389
x:41.60,y:-95.80,z:-387.00,t:42393
x:-287.60,y:29.60,z:-32.20,t:42396
x:-526.60,y:389.20,z:218.60,t:42400
x:-539.00,y:680.40,z:409.40,t:42404
x:-352.00,y:819.80,z:303.20,t:42408
x:66.60,y:777.20,z:-19.60,t:42413
x:709.20,y:176.20,z:4.20,t:42417
x:751.80,y:-677.00,z:526.00,t:42420
x:317.40,y:-799.80,z:593.60,t:42424
x:-37.80,y:-273.40,z:183.60,t:42428
