-x:250.20,y:1617.60,z:-234.20,t:131474

x:172.00,y:-359.40,z:-777.40,t:131478

x:-378.20,y:-367.60,z:599.40,t:131482

x:475.00,y:1513.80,z:-487.20,t:131486

x:-58.80,y:-1016.60,z:-99.80,t:131490

x:318.60,y:-5.20,z:622.00,t:131494

x:258.40,y:271.80,z:-311.60,t:131499

x:-286.00,y:-508.40,z:197.20,t:131503

x:733.60,y:-76.80,z:43.00,t:131506

x:-619.80,y:-429.40,z:304.40,t:131510

x:234.00,y:484.60,z:-451.60,t:131514

x:41.80,y:-609.40,z:343.60,t:131518

x:28.20,y:-68.40,z:99.40,t:131522

x:132.40,y:372.20,z:-364.00,t:131526

x:-128.80,y:-724.40,z:137.00,t:131530

x:31.80,y:578.40,z:242.20,t:131534

x:251.00,y:92.80,z:-345.60,t:131538

x:-416.80,y:-1626.40,z:833.00,t:131543

x:240.60,y:1094.00,z:-70.20,t:131547

x:8.80,y:-406.00,z:-585.20,t:131550

x:-398.40,y:-521.60,z:876.60,t:131554

x:205.80,y:1180.00,z:-565.00,t:131558

x:-280.60,y:-761.60,z:-43.80,t:131562

x:63.40,y:529.20,z:-2.20,t:131566

x:-178.40,y:529.00,z:-318.80,t:131570

x:-484.60,y:259.00,z:-24.80,t:131574

x:686.40,y:97.20,z:-376.60,t:131578

x:-422.20,y:30.20,z:432.40,t:131582

x:19.20,y:624.60,z:-464.40,t:131586

x:-67.40,y:-605.20,z:210.60,t:131590

x:138.80,y:286.60,z:114.40,t:131594

x:235.60,y:352.40,z:-122.80,t:131598

x:-305.80,y:-1112.00,z:228.00,t:131602

x:58.00,y:882.80,z:75.40,t:131606

x:392.80,y:154.20,z:-672.00,t:131610

x:-470.00,y:-1096.80,z:582.80,t:131614

x:102.00,y:1620.00,z:-214.60,t:131618

x:23.60,y:-610.40,z:-496.00,t:131622

x:-102.00,y:-414.00,z:469.00,t:131627

x:403.00,y:597.00,z:-161.80,t:131631

x:-295.80,y:-974.00,z:203.80,t:131635

x:-87.20,y:12.40,z:-85.40,t:131638

x:-175.20,y:-495.60,z:52.80,t:131642

x:-181.80,y:405.20,z:117.00,t:131646

x:274.20,y:-383.40,z:-30.20,t:131650

x:-317.80,y:-112.60,z:194.00,t:131654

x:151.00,y:384.80,z:-319.00,t:131658

x:-97.00,y:-655.00,z:182.80,t:131662

x:2.00,y:23.40,z:129.00,t:131666

x:353.80,y:77.80,z:-27.80,t:131670

x:-360.40,y:-1337.80,z:278.80,t:131674

x:-108.60,y:1073.00,z:75.20,t:131678

x:55.60,y:-35.20,z:-711.40,t:131682

x:-250.40,y:-895.20,z:657.00,t:131686

x:463.20,y:1209.20,z:-45.20,t:131690

x:-62.20,y:-654.60,z:-473.60,t:131694

x:69.60,y:-153.00,z:618.40,t:131698

x:191.00,y:507.00,z:-242.60,t:131702

x:-682.80,y:-367.60,z:117.40,t:131706

x:546.20,y:238.80,z:-256.00,t:131710

x:-374.40,y:-170.60,z:221.40,t:131715

x:398.00,y:-264.80,z:-131.20,t:131719

x:-280.80,y:-151.40,z:170.60,t:131722

x:128.00,y:523.20,z:-198.80,t:131726

x:-158.20,y:-506.60,z:58.20,t:131730

x:-172.60,y:159.60,z:44.20,t:131734

x:502.80,y:494.00,z:-236.00,t:131738

x:-396.20,y:-1224.20,z:334.60,t:131742

x:-155.00,y:1050.60,z:152.80,t:131746

x:420.80,y:3.20,z:-677.80,t:131750

x:-318.40,y:-833.00,z:647.40,t:131755

x:320.80,y:1167.00,z:-36.20,t:131759

x:-55.00,y:-565.20,z:-330.00,t:131763

x:35.20,y:66.00,z:391.00,t:131767

x:322.80,y:477.20,z:-188.00,t:131770

x:-638.00,y:-393.60,z:249.20,t:131774

x:524.60,y:-98.60,z:-230.80,t:131778

x:-177.20,y:-589.00,z:420.20,t:131782

x:53.20,y:492.00,z:-159.00,t:131786

x:203.80,y:-486.60,z:130.40,t:131790

x:-221.00,y:-197.40,z:181.60,t:131794

x:-119.20,y:815.60,z:-228.20,t:131799

