-x:778.80,y:826.00,z:-362.00,t:216719
x:-862.40,y:-688.20,z:578.80,t:216723
x:740.40,y:561.60,z:-837.60,t:216727
x:-584.00,y:-676.80,z:360.20,t:216731
x:4.80,y:-488.60,z:-132.60,t:216735
x:-208.40,y:-715.60,z:333.80,t:216739
x:94.20,y:582.60,z:160.80,t:216743
x:178.20,y:-265.60,z:208.80,t:216748
x:-548.60,y:108.20,z:259.00,t:216752
x:-537.40,y:-435.20,z:415.00,t:216755
x:631.80,y:414.40,z:-565.80,t:216759
x:-659.60,y:-657.40,z:409.60,t:216763
x:288.00,y:470.80,z:-459.20,t:216767
x:-285.40,y:-585.00,z:77.20,t:216771
x:234.60,y:506.20,z:-344.80,t:216775
x:-11.40,y:-594.40,z:244.80,t:216779
x:346.80,y:541.80,z:-206.00,t:216783
x:-36.80,y:-574.40,z:405.20,t:216787
x:47.00,y:1027.00,z:-404.60,t:216792
x:125.60,y:-578.40,z:235.40,t:216796
x:-478.20,y:681.60,z:-332.20,t:216800
x:263.40,y:-140.80,z:-51.40,t:216804
x:-533.80,y:61.60,z:-54.40,t:216807
x:591.40,y:40.80,z:-216.00,t:216811
x:-523.20,y:145.40,z:152.80,t:216815
x:412.80,y:280.00,z:-145.60,t:216819
x:-867.40,y:-335.80,z:344.80,t:216823
x:556.80,y:728.60,z:-513.80,t:216827
x:-661.40,y:-388.20,z:334.00,t:216832
x:529.60,y:640.60,z:-292.80,t:216836
x:-279.00,y:-487.60,z:237.40,t:216840
x:242.80,y:387.60,z:-175.40,t:216844
x:-131.80,y:-541.60,z:40.80,t:216848
x:259.20,y:581.40,z:-303.80,t:216852
x:-71.40,y:-536.60,z:156.80,t:216855
x:27.40,y:439.80,z:-191.60,t:216859
x:83.00,y:-190.00,z:60.00,t:216863
x:-226.80,y:373.40,z:-94.00,t:216867
x:355.40,y:-208.60,z:66.40,t:216871
x:-356.60,y:272.20,z:15.20,t:216876
x:463.20,y:82.00,z:-135.60,t:216880
x:-562.80,y:86.60,z:178.60,t:216884
x:533.80,y:-44.20,z:-161.80,t:216887
x:-622.00,y:-377.80,z:285.20,t:216891
x:489.00,y:187.60,z:-176.60,t:216895
x:-481.80,y:-87.60,z:210.20,t:216899
x:530.20,y:416.60,z:-240.00,t:216903
x:-712.60,y:-287.80,z:171.00,t:216907
x:339.40,y:631.00,z:-358.40,t:216911
x:-576.20,y:-375.20,z:233.60,t:216915
x:662.60,y:464.60,z:-302.60,t:216920
x:-530.20,y:-498.60,z:397.80,t:216924
x:145.80,y:964.40,z:-559.20,t:216928
x:-445.80,y:-374.20,z:108.80,t:216932
x:384.20,y:383.40,z:-478.60,t:216936
x:-370.40,y:-626.60,z:258.40,t:216940
x:26.80,y:346.80,z:-172.80,t:216943
x:-106.60,y:-327.80,z:286.80,t:216947
x:181.40,y:434.60,z:-45.80,t:216951
x:282.40,y:-426.20,z:44.00,t:216955
x:-174.80,y:-42.80,z:132.20,t:216960
x:423.20,y:-213.60,z:-36.80,t:216964
x:-341.40,y:138.20,z:86.40,t:216968
x:398.00,y:-144.60,z:-64.20,t:216972
x:-305.20,y:29.00,z:-2.00,t:216975
x:474.40,y:-132.60,z:-30.20,t:216979
x:-654.80,y:-170.60,z:239.00,t:216983
x:638.80,y:428.80,z:-276.40,t:216987
x:-635.20,y:-262.00,z:338.00,t:216991
x:712.00,y:537.40,z:-501.60,t:216995
x:-487.20,y:-546.00,z:416.20,t:216999
x:175.80,y:697.20,z:-456.20,t:217004
x:-603.40,y:-635.40,z:290.60,t:217008
x:389.20,y:675.00,z:-375.00,t:217012
x:-217.00,y:-413.00,z:578.00,t:217016
x:534.20,y:-5.40,z:-60.20,t:217020
x:-261.40,y:-445.20,z:149.00,t:217024
x:-284.80,y:-153.80,z:-137.40,t:217028
x:-693.20,y:-307.60,z:489.00,t:217031
x:1063.20,y:249.80,z:-866.20,t:217035
x:-877.60,y:-543.00,z:882.40,t:217039
x:639.40,y:667.00,z:-568.20,t:217043
x:-539.80,y:-568.20,z:676.80,t:217048
x:631.00,y:405.60,z:-459.40,t:217052
x:-443.80,y:-489.80,z:499.60,t:217056
x:185.20,y:690.80,z:-541.20,t:217060
x:-183.20,y:-462.20,z:8.20,t:217064
x:-116.20,y:697.40,z:-172.80,t:217068
x:49.20,y:-1.80,z:-96.80,t:217072
x:-209.00,y:355.40,z:-207.60,t:217076
x:364.80,y:-332.60,z:123.40,t:217080
x:78.00,y:358.00,z:-38.60,t:217083
x:422.20,y:-521.40,z:259.40,t:217088
x:-834.80,y:415.00,z:15.80,t:217092
x:712.40,y:-0.60,z:-13.40,t:217096
x:-675.00,y:-58.80,z:83.80,t:217100
x:484.20,y:69.80,z:-167.40,t:217104
x:289.80,y:-321.20,z:66.20,t:217107
x:-444.00,y:233.20,z:-78.20,t:217111
x:475.80,y:152.40,z:-8.20,t:217115
x:-643.60,y:-14.00,z:119.60,t:217119
x:692.60,y:232.80,z:-212.80,t:217123
x:-543.00,y:-333.40,z:336.80,t:217127
x:604.20,y:388.40,z:-307.40,t:217132
x:-371.80,y:-529.00,z:262.00,t:217136
