-x:-410.00,y:-378.80,z:-66.80,t:288402
x:496.80,y:164.20,z:-339.80,t:288406
x:11.80,y:226.00,z:424.00,t:288410
x:-246.60,y:-412.20,z:-185.60,t:288413
x:123.80,y:431.00,z:-296.00,t:288417
x:-369.60,y:-48.20,z:452.00,t:288421
x:92.80,y:-605.20,z:-249.00,t:288425
x:434.20,y:226.20,z:-79.80,t:288430
x:-270.60,y:-505.20,z:613.20,t:288434
x:-184.60,y:-379.00,z:-451.20,t:288438
x:59.80,y:822.20,z:44.20,t:288442
x:-403.40,y:-231.60,z:484.80,t:288446
x:215.80,y:174.00,z:-495.80,t:288450
x:240.20,y:289.40,z:399.60,t:288454
x:-360.60,y:-622.20,z:330.40,t:288458
x:214.60,y:94.40,z:-613.00,t:288461
x:-9.20,y:200.00,z:456.80,t:288465
x:-301.60,y:-651.00,z:102.20,t:288470
x:358.20,y:336.60,z:-306.80,t:288474
x:-263.00,y:-4.80,z:550.80,t:288478
x:-46.00,y:-611.40,z:-203.60,t:288482
x:585.20,y:591.40,z:-260.20,t:288486
x:-213.80,y:-63.20,z:532.00,t:288490
x:-24.20,y:50.80,z:-357.60,t:288493
x:136.80,y:807.40,z:-65.40,t:288497
x:-83.40,y:-486.00,z:395.40,t:288501
x:92.00,y:-539.60,z:-362.60,t:288505
x:-141.00,y:242.00,z:170.20,t:288509
x:-284.20,y:-718.00,z:120.40,t:288514
x:607.20,y:34.80,z:-368.20,t:288518
x:22.00,y:-70.00,z:623.20,t:288522
x:-245.00,y:-515.80,z:-202.40,t:288526
x:297.80,y:513.80,z:-129.60,t:288530
x:-160.20,y:-83.20,z:419.20,t:288533
x:39.80,y:-223.20,z:-242.00,t:288537
x:105.60,y:511.20,z:-129.20,t:288541
x:-438.60,y:-195.00,z:326.00,t:288545
x:51.00,y:-26.00,z:-329.20,t:288549
x:-115.80,y:797.60,z:-65.80,t:288553
x:-656.00,y:-596.60,z:303.80,t:288558
x:857.20,y:379.40,z:-356.40,t:288562
x:4.60,y:92.80,z:348.60,t:288566
x:-370.20,y:-842.60,z:112.40,t:288569
x:82.00,y:997.80,z:-369.80,t:288573
x:-516.80,y:108.00,z:108.20,t:288577
x:200.20,y:-44.40,z:-318.20,t:288581
x:363.40,y:712.60,z:302.20,t:288585
x:-339.60,y:-264.20,z:485.00,t:288589
x:102.20,y:262.80,z:-814.00,t:288593
x:-10.80,y:182.00,z:571.00,t:288598
x:-370.00,y:-594.60,z:-269.00,t:288602
x:602.00,y:434.00,z:-503.60,t:288606
x:-438.60,y:-437.80,z:689.80,t:288610
x:-121.20,y:24.20,z:-753.60,t:288614
x:321.80,y:780.20,z:174.40,t:288618
x:-382.60,y:-293.20,z:710.20,t:288621
x:384.20,y:271.40,z:-680.20,t:288625
x:-70.40,y:349.00,z:728.40,t:288629
x:-233.40,y:-472.20,z:-247.40,t:288633
x:339.60,y:206.80,z:-260.20,t:288637
x:-457.40,y:-443.80,z:339.80,t:288642
x:-102.60,y:190.20,z:-410.80,t:288646
x:-66.20,y:967.40,z:107.00,t:288650
x:-62.80,y:68.20,z:-126.80,t:288654
x:875.00,y:-28.60,z:-72.20,t:288658
x:-472.00,y:55.20,z:663.60,t:288661
x:-241.20,y:-590.00,z:48.60,t:288665
x:428.80,y:683.40,z:-119.00,t:288669
x:-755.40,y:-272.80,z:198.20,t:288673
x:551.40,y:-408.80,z:-368.20,t:288677
x:365.00,y:466.40,z:-6.80,t:288681
x:-362.40,y:-627.40,z:197.20,t:288686
x:139.20,y:477.80,z:-419.20,t:288690
x:-640.20,y:419.60,z:305.80,t:288694
x:115.20,y:-399.00,z:-315.60,t:288698
x:460.80,y:929.20,z:157.00,t:288702
x:-48.20,y:-337.80,z:184.40,t:288706
