-x:-15.00,y:147.00,z:-120.00,t:4195
x:38.00,y:-74.00,z:-51.00,t:4200
x:30.00,y:-29.00,z:-62.00,t:4204
x:-39.00,y:27.00,z:32.00,t:4209
x:-18.00,y:46.00,z:21.00,t:4213
x:-50.00,y:39.00,z:-39.00,t:4218
x:-32.00,y:6.00,z:37.00,t:4222
x:17.00,y:-8.00,z:124.00,t:4228
x:66.00,y:-44.00,z:141.00,t:4232
x:54.00,y:-38.00,z:-41.00,t:4237
x:-51.00,y:-59.00,z:-35.00,t:4241
x:-42.00,y:-41.00,z:-30.00,t:4246
x:1.00,y:-108.00,z:-34.00,t:4250
x:-65.00,y:-1.00,z:-89.00,t:4255
x:47.00,y:-44.00,z:-28.00,t:4259
x:84.00,y:-2.00,z:14.00,t:4264
x:-26.00,y:80.00,z:15.00,t:4269
x:-36.00,y:35.00,z:25.00,t:4274
x:2.00,y:40.00,z:-16.00,t:4278
x:43.00,y:3.00,z:-50.00,t:4283
x:-1.00,y:-53.00,z:-2.00,t:4287
x:-53.00,y:-87.00,z:-2.00,t:4291
x:-66.00,y:43.00,z:-116.00,t:4296
x:23.00,y:57.00,z:28.00,t:4300
x:77.00,y:10.00,z:21.00,t:4305
x:16.00,y:-19.00,z:-28.00,t:4310
x:-44.00,y:-115.00,z:-6.00,t:4315
x:-16.00,y:4.00,z:-24.00,t:4319
x:-75.00,y:67.00,z:64.00,t:4324
x:20.00,y:-2.00,z:0.00,t:4328
x:40.00,y:-81.00,z:-48.00,t:4333
x:47.00,y:-83.00,z:26.00,t:4337
x:63.00,y:-38.00,z:-17.00,t:4342
x:-1.00,y:-16.00,z:-123.00,t:4346
x:-71.00,y:65.00,z:-55.00,t:4352
x:34.00,y:-102.00,z:32.00,t:4356
x:-12.00,y:-33.00,z:-13.00,t:4361
x:-30.00,y:39.00,z:69.00,t:4365
x:105.00,y:-201.00,z:2.00,t:4370
x:-24.00,y:-20.00,z:-58.00,t:4374
x:-52.00,y:14.00,z:9.00,t:4379
x:-71.00,y:56.00,z:40.00,t:4383
x:-61.00,y:74.00,z:-23.00,t:4388
x:21.00,y:12.00,z:44.00,t:4392
x:60.00,y:-43.00,z:42.00,t:4398
x:-24.00,y:-32.00,z:-20.00,t:4402
x:-28.00,y:-11.00,z:30.00,t:4407
x:-32.00,y:-63.00,z:-9.00,t:4411
x:30.00,y:-57.00,z:9.00,t:4415
